해당연도,사업장명칭,소재지,지정분야,데이터기준일자
2022,소명충전소,제주특별자치도 제주시 한북로 313,수질분야5,2023-01-05
2022,용담주유소,제주특별자치도 제주시 용담로 136,수질분야5,2023-01-05
2022,제주OK충전소,제주특별자치도 제주시 일주서로 7588,수질분야5,2023-01-05
2022,공단주유소,제주특별자치도 제주시 연삼로 727,수질분야5,2023-01-05
2022,제주시농협동부주유소,제주특별자치도 제주시 번영로 417,수질분야5,2023-01-05
2022,정우오라LPG충전소,제주특별자치도 제주시 오남로 150,수질분야5,2023-01-05
2022,(주)광동,제주특별자치도 제주시 일주서로 7832,수질분야5,2023-01-05
2022,내트럭자동세차,제주특별자치도 제주시 번영로 345,수질분야5,2023-01-05
2022,엔크린주유소,제주특별자치도 제주시 일주서로 7650,수질분야5,2023-01-05
2022,임덕방사선과의원,제주특별자치도 제주시 중앙로 77,기타분야,2023-01-05
2022,금정자동차공업사,제주특별자치도 제주시 선반남2길 13,대기분야4+기타분야,2023-01-05
2022,세진자동차공업사,제주특별자치도 제주시 화남로 12,대기분야4+기타분야,2023-01-05
2022,현대차량관리,제주특별자치도 제주시 화남로 19,대기분야5+기타분야,2023-01-05
2022,영화자동차공업사,제주특별자치도 제주시 선반로 78,대기분야5+기타분야,2023-01-05
2022,현대자동차(주)제주하이테크센터,제주특별자치도 제주시 조천읍 일주동로 1323,대기분야4+기타분야,2023-01-05
2022,도남자동차공업사,제주특별자치도 제주시 원남6길 86,대기분야5+기타분야,2023-01-05
2022,명진자동차공업사,제주특별자치도 제주시 동고산로 9,대기분야5+기타분야,2023-01-05
2022,뉴금성자동차공업사,제주특별자치도 제주시 도령로 7-1,대기분야4+기타분야,2023-01-05
2022,중앙자동차공업사(주),제주특별자치도 제주시 연삼로 57,대기분야5+기타분야,2023-01-05
2022,조양산업,제주특별자치도 제주시 선반로4길 21-5,대기분야4+수질분야4,2023-01-05
2022,제주그로우 농업회사법인 주식회사,제주특별자치도 제주시 구좌읍 동복남4길,대기분야5+수질분야5,2023-01-05
2022,(주)대동,제주특별자치도 제주시 구좌읍 행원로13길 39,대기분야4+수질분야4,2023-01-05
2022,(주)무지개렌트카,제주특별자치도 제주시 제성1길 30,수질분야5,2023-01-05
2022,제주카프로,제주특별자치도 제주시 남광로 220,수질분야5,2023-01-05
2022,동일주유소,제주특별자치도 제주시 동광로 103,수질분야5,2023-01-05
2022,(주)무수천주유소,제주특별자치도 제주시 노형로 45,수질분야5,2023-01-05
2022,극동가스충전소,제주특별자치도 제주시 동광로 141,수질분야5,2023-01-05
2022,쌍용자동차제주사업소(주),제주특별자치도 제주시 선반로 59,대기분야5+기타분야,2023-01-05
2022,주식회사 산지공업사,제주특별자치도 제주시 선반로 62,대기분야5+기타분야,2023-01-05
2022,세일자동차공업(주),제주특별자치도 제주시 중앙로 495,대기분야5+기타분야,2023-01-05
2022,(주)제성자동차공업사,제주특별자치도 제주시 선반로 92,대기분야4+기타분야,2023-01-05
2022,한국공항공사 제주지역본부,제주특별자치도 제주시 공항로 2,수질분야5,2023-01-05
2022,남동주유소,제주특별자치도 제주시 남광로 78,수질분야5,2023-01-05
2022,㈜삼광개발,제주특별자치도 제주시 탑동로 47,대기분야4,2023-01-05
2022,성신주유소,제주특별자치도 제주시 연삼로 159,수질분야5,2023-01-05
2022,제주특별자치도 제주도개인택시운송사업조합 LPG충전소,제주특별자치도 제주시 도공로 141,수질분야5,2023-01-05
2022,동아주유소,제주특별자치도 제주시 동광로 178,수질분야5,2023-01-05
2022,노형셀프세차타운,제주특별자치도 제주시 노형로 290,수질분야5,2023-01-05
2022,㈜건풍바이오,제주특별자치도 제주시 한림읍 금능농공길 62,대기분야5,2023-01-05
2022,삼화석유㈜삼화주유소,제주특별자치도 제주시 서광로 210,수질분야5,2023-01-05
2022,수성카클리닉,제주특별자치도 제주시 남광로 156,수질분야5,2023-01-05
2022,삼화석유㈜천마주유소,제주특별자치도 제주시 임항로 94,수질분야5,2023-01-05
2022,안전세차장,제주특별자치도 제주시 연삼로 636,수질분야5,2023-01-05
2022,세차클럽,제주특별자치도 제주시 월광로 151,수질분야5,2023-01-05
2022,서광로주유소,제주특별자치도 제주시 서광로 125,수질분야5,2023-01-05
2022,주식회사 인터파크렌트카,제주특별자치도 제주시 용문로 88,수질분야5,2023-01-05
2022,삼진주유소,제주특별자치도 제주시 용문로 54,수질분야5,2023-01-05
2022,삼남석유㈜삼광충전소,제주특별자치도 제주시 번영로 152,수질분야5,2023-01-05
2022,하귀농업협동조합 동부지점,제주특별자치도 제주시 애월읍 일주서로 7136,수질분야5,2023-01-05
2022,(주)제주원렌트카,제주특별자치도 제주시 용해로 58-7,수질분야5,2023-01-05
2022,터미널세차장,제주특별자치도 제주시 서광로 174,수질분야5,2023-01-05
2022,제주시농협서부주유소,제주특별자치도 제주시 일주서로 7416,수질분야5,2023-01-05
2022,한국공항㈜,제주특별자치도 제주시 공항로 2,수질분야5,2023-01-05
2022,제주특별자치도보건환경연구원,제주특별자치도 제주시 삼동길 41,수질분야5,2023-01-05
2022,아시아나에어포트㈜ 제주지점,제주특별자치도 제주시 공항로 2,수질분야5,2023-01-05
2022,재은자동차공업사,제주특별자치도 제주시 연신로 67,대기분야4+기타분야,2023-01-05
